Umsatz (ohne Soll/Haben-Kz);Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Buchungstext;Beleglink
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 150 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 100 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 50 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 200 cm Länge;1402_ZFD_1P0_FACHLICH_NUMMER_LEER.PDF
;;;Furnier Eiche 150 cm Länge;1402_ZFD_1P0_FACHLICH_NUMMER_LEER.PDF
;;;Furnier Eiche 100 cm Länge;1402_ZFD_1P0_FACHLICH_NUMMER_LEER.PDF
;;;Furnier Eiche 50 cm Länge;1402_ZFD_1P0_FACHLICH_NUMMER_LEER.PDF
;;;Furnier Eiche 200 cm Länge;1403_ZFD_1P0_FACHLICH_NUMMER_ZU_LANG.PDF
;;;Furnier Eiche 150 cm Länge;1403_ZFD_1P0_FACHLICH_NUMMER_ZU_LANG.PDF
;;;Furnier Eiche 100 cm Länge;1403_ZFD_1P0_FACHLICH_NUMMER_ZU_LANG.PDF
;;;Furnier Eiche 50 cm Länge;1403_ZFD_1P0_FACHLICH_NUMMER_ZU_LANG.PDF
;;;Furnier Eiche 200 cm Länge;1404_ZFD_1P0_FACHLICH_NUMMER_SONDERZEICHEN.PDF
;;;Furnier Eiche 150 cm Länge;1404_ZFD_1P0_FACHLICH_NUMMER_SONDERZEICHEN.PDF
;;;Furnier Eiche 100 cm Länge;1404_ZFD_1P0_FACHLICH_NUMMER_SONDERZEICHEN.PDF
;;;Furnier Eiche 50 cm Länge;1404_ZFD_1P0_FACHLICH_NUMMER_SONDERZEICHEN.PDF
;;;Kunstrasen grün 3m breit;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Schweinesteak;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Mineralwasser Medium 12 x 1,0l PET;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Pfand;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Kunstrasen grün 3m breit;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Schweinesteak;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Mineralwasser Medium 12 x 1,0l PET;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Pfand;2014-04-08-ZUGFeRD-Beispielrechnung.pdf
;;;Dekorplatte Buche, beschichtet;2015_01_DIBU_ER_Holz_1.ZUGFeRD.pdf
;;;Platte Echtholz Ahorn, beschichtet;2015_01_DIBU_ER_Holz_1.ZUGFeRD.pdf
;;;Holzschutzlasur, Palisander;2015_02_DIBU_ER_Farben.ZUGFeRD.pdf
;;;Holzschutzlasur, Teak;2015_02_DIBU_ER_Farben.ZUGFeRD.pdf
;;;Holzschutzlasur, Eiche;2015_02_DIBU_ER_Farben.ZUGFeRD.pdf
;;;Furnier kanad. Ahorn 50 cm;2015_02_DIBU_ER_Kreditort_3.ZUGFeRD.pdf
;;;Furnier Kirschbau 50 cm;2015_02_DIBU_ER_Kreditort_3.ZUGFeRD.pdf
;;;Echtholzfurnierkante Esche 12 mm;2015_02_DIBU_ER_Kreditort_3.ZUGFeRD.pdf
;;;Musterposten 2 CIB doXisafe;2016-03-31 CIB-Rechnung - CIB InvoicE.pdf
;;;Musterposten 1 CIB workbench;2016-03-31 CIB-Rechnung - CIB InvoicE.pdf
;;;Musterposten CIB001;2016-03-31 Rechnung Mustervorlage Posten.pdf
;;;Musterposten CIB002;2016-03-31 Rechnung Mustervorlage Posten.pdf
;;;Unterstützungsleistung;2016-03-31 Rechnung Mustervorlage Unterstützung.pdf
;;;Furnier Eiche 200 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 150 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 100 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 50 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 200 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 150 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 100 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 50 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 200 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 150 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 100 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 50 cm Länge;7_Test-ZUGFeRD-AR-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 200 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 150 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 100 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 50 cm Länge;7_Test-ZUGFeRD-ER-TEST_KV_Betrag-ReNr_fehlt.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Kunstrasen grün 3m breit;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Schweinesteak;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;"Mineralwasser Medium 
12 x 1,0l PET";ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Pfand;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;"GTIN 4123456000014
Art-Nr-Lieferant ZS9997
Zitronensäure 100ml
Verpackung: Flasche
VKE/Geb: 1";ZUGFeRD_1p0_BASIC_Rechnungskorrektur.pdf
;;;"GTIN 4123456000021
Art-Nr-Lieferant GZ250
Gelierzucker Extra 250g
Verpackung: Karton
VKE/Geb: 1";ZUGFeRD_1p0_BASIC_Rechnungskorrektur.pdf
;;;Zitronensäure 100ml;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Gelierzucker Extra 250g;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Zitronensäure 100ml;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Gelierzucker Extra 250g;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Wirkarbeit HT;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Ökosteuer Lieferant;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Kommissionierer 1250032 D. Muster;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;FALTENBEUTEL 16x6x28 CM;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Kopierpapier A4;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Zitronensäure 100ml;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Gelierzucker Extra 250g;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Bierbrau Pils 20/0500;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Leergutpfand 20 x 0,5l;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Mischpalette Joghurt Karton 3 x 20;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;beschichtete Platte Ahorn;ER_ZUGFeRD_Holz Hoftest.pdf
;;;Kundendienst Firmenwagen 1;ER_ZUGFeRD_Köhlertest 2.pdf
;;;Kundendienst Firmenwagen 2;ER_ZUGFeRD_Köhlertest_01.pdf
;;;Bereitstellungspreis für 7-stellige Basisnummer;GS.1 Rechnung 301837-33611204.pdf
;;;Jährlicher Nutzungspreis Umsatzstufe 1;GS.1 Rechnung 301837-33611204.pdf
;;;Trennblätter A4;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Joghurt Banane;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;"GTIN: 4012345001235
Unsere Art.-Nr.: TB100A4
Trennblätter A4";ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Trennblätter A4;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Joghurt Banane;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Privathaftpflicht;ZUGFeRD_1p0_COMFORT_Haftpflichtversicherung_Versicherungssteuer.pdf
;;;Lebensgefährte/in zur Privathaftpflicht;ZUGFeRD_1p0_COMFORT_Haftpflichtversicherung_Versicherungssteuer.pdf
